id,team_type,season,week,match_label,match_date,stage,abs_week,created_at
1,U21,93,1,Friendly,,FR,1489,2026-01-11 18:53:20.038214+00
2,U21,93,2,Friendly,,FR,1490,2026-01-11 18:53:20.038214+00
3,U21,93,3,Continental Championship MD1,,GROUP,1491,2026-01-11 18:53:20.038214+00
4,U21,93,4,Continental Championship MD2,,GROUP,1492,2026-01-11 18:53:20.038214+00
5,U21,93,5,Continental Championship MD3,,GROUP,1493,2026-01-11 18:53:20.038214+00
6,U21,93,6,Continental Championship MD4,,GROUP,1494,2026-01-11 18:53:20.038214+00
7,U21,93,7,Continental Championship MD5,,GROUP,1495,2026-01-11 18:53:20.038214+00
8,U21,93,8,Continental Championship MD6,,GROUP,1496,2026-01-11 18:53:20.038214+00
9,U21,93,9,Continental Championship MD7,,GROUP,1497,2026-01-11 18:53:20.038214+00
10,U21,93,10,Continental Championship MD8,,GROUP,1498,2026-01-11 18:53:20.038214+00
11,U21,93,11,Quarterfinal,,QF,1499,2026-01-11 18:53:20.038214+00
12,U21,93,12,Semifinal,,SF,1500,2026-01-11 18:53:20.038214+00
13,U21,93,13,Final,,F,1501,2026-01-11 18:53:20.038214+00
