team_code,Nacionalnost,Ime,ID-broj igrača,Specijalnost,Ozljede,Na transfer listi,Dob,Dani,TSI,Iskustvo,Vodstvo,Forma,Izdržljivost,Na vratima,Obrana,Kreiranje,Krilo,Proigravanje,Napad,Prekidi,Utakmice za rep,U21,Reprezentativac,Kategorija,Utakmice za reprezentaciju,Utakmice za U21 reprezentaciju,Reprezentativac!
NT,Hrvatska,Alan Andrović,453285255,Brz,,,35,20,47110,18,6,6,7,1,9,14,17,11,2,16,,,,Krilo,20,0,0
NT,Hrvatska,Albert Dumbović,470141243,Brz,,,28,72,379170,9,6,6,7,1,12,18,3,10,4,2,,,,Srednji vezni,0,1,0
NT,Hrvatska,Albert 'Berty Boy' Vrbnjak,459418718,Brz,,,32,75,225000,12,3,7,7,1,10,16,17,9,7,9,,,,Krilo,1,3,0
NT,Hrvatska,Aldo Andrisević,454326344,Tehničar,,,34,84,44760,16,3,8,5,1,5,12,8,14,16,2,,,,Napadač,6,18,0
NT,Hrvatska,Aleksandar Bregović,472102299,Snažan,,,27,87,483530,9,2,7,7,1,4,15,10,9,17,2,,,,Napadač,4,7,0
NT,Hrvatska,Aleksandar Štimac,469897495,Brz,,,28,94,270100,8,7,8,7,1,16,9,14,8,3,8,,,,Bočni igrač,0,0,0
NT,Hrvatska,Alen Orinčić,460320436,Brz,,,32,34,163130,14,5,6,6,1,5,17,5,12,14,3,,,,Napadač,0,5,0
NT,Hrvatska,Alojzije Lacković,470148997,Igra glavom,,,28,71,460640,8,3,7,7,1,9,17,12,13,4,4,,,,Srednji vezni,0,0,0
NT,Hrvatska,Alojzije 'Šakal' Šerer,456981618,,,,33,62,131190,16,5,7,8,1,12,18,6,12,7,12,,,,Srednji vezni,0,10,0
NT,Hrvatska,Aljoša Deverić,455969601,,,Na transfer listi,34,4,77230,13,5,7,6,0,14,8,17,9,4,11,,,,Bočni igrač,0,0,0
NT,Hrvatska,Anđelko Reljić,463401506,Tehničar,,,30,94,378840,8,7,8,6,1,17,12,16,6,4,4,,,,Bočni igrač,5,0,0
NT,Hrvatska,Anđelko Stražina,460766915,Brz,,,31,110,209120,12,1,6,7,1,5,13,12,13,15,17,,,,Napadač,0,0,0
NT,Hrvatska,Ante Rasol,461480327,Nepredvidiv,,,31,78,358520,16,5,6,8,1,2,15,8,15,17,3,,,,Napadač,12,21,0
NT,Hrvatska,Ante Šprljan,469028671,Igra glavom,,,29,10,376810,12,2,6,8,1,10,17,15,9,4,10,,,,Srednji vezni,0,1,0
NT,Hrvatska,Anto Kukec,464788148,Tehničar,,,30,29,427340,11,4,7,7,1,11,16,18,10,7,5,,,,Krilo,3,2,0
NT,Hrvatska,Ben '10' Breulj,469021522,Nepredvidiv,,,29,12,394640,13,3,7,8,1,5,13,10,11,17,9,,,,Napadač,14,18,1
NT,Hrvatska,Ben Lelja,464765909,Nepredvidiv,,,30,43,427680,11,3,6,8,1,6,16,17,14,5,3,,,,Krilo,0,0,0
NT,Hrvatska,Ben Stanić,472923826,Brz,,,27,44,334950,8,2,5,7,1,18,8,13,7,4,4,,,,Bočni igrač,5,7,0
NT,Hrvatska,Benjamin Kovačević,462803078,Nepredvidiv,,,31,27,217990,11,5,8,6,1,14,18,3,9,5,16,,,,Srednji vezni,0,0,0
NT,Hrvatska,Benjamin Školjić,472282226,Brz,,,28,14,322880,7,7,6,7,1,15,17,7,7,6,6,,,,Srednji branič,3,0,0
NT,Hrvatska,Bernard Jurkin,462081160,Nepredvidiv,,,31,62,240190,11,2,7,7,1,17,15,2,6,5,1,,,,Srednji branič,0,0,0
NT,Hrvatska,Boris Džoni,460546312,Nepredvidiv,,,32,17,246850,11,4,7,7,1,9,17,3,17,4,3,,,,Srednji vezni,3,0,0
NT,Hrvatska,Boris Rogomentić,461208883,Tehničar,,,31,99,292710,9,2,7,7,1,8,17,15,12,9,1,,,,Krilo,0,0,0
NT,Hrvatska,Borna Radov,463522616,Nepredvidiv,,,30,80,201050,10,5,8,6,1,15,15,6,10,3,2,,,,Srednji branič,0,0,0
NT,Hrvatska,Božidar Lukšić,459497841,Igra glavom,,,32,70,255460,14,3,7,8,1,10,16,18,9,3,13,,,,Krilo,7,0,0
NT,Hrvatska,Božidar Roca,452926133,,,,35,26,71830,12,7,7,5,19,12,0,0,1,1,21,,,,Vratar,0,0,0
NT,Hrvatska,Božidar Štefan,461673792,,,,31,68,193330,11,1,6,6,1,16,14,6,12,3,10,,,,Srednji branič,0,0,0
NT,Hrvatska,Božo 'Ra' Stura,458027092,Tehničar,,,33,34,130740,16,7,8,8,1,12,18,2,11,7,12,,,,Srednji vezni,6,5,0
NT,Hrvatska,Branimir Ostreš,461782346,Igra glavom,2,,31,93,124850,12,2,6,7,1,12,17,2,3,11,17,,,,Srednji vezni,0,0,0
NT,Hrvatska,Branko Katuša,453024305,Igra glavom,,,35,19,44790,14,6,6,7,0,15,13,14,8,4,10,,,,Bočni igrač,7,0,0
NT,Hrvatska,Branko Matarela,465060649,,,,30,9,320930,10,2,6,8,1,11,17,5,14,10,10,,,,Srednji vezni,0,0,0
NT,Hrvatska,Bruno Galeb,463405898,Nepredvidiv,,,30,93,257960,12,2,7,8,1,4,8,7,13,18,7,,,,Napadač,0,11,0
