id,team_type,competition,season,week,match_code,title,match_date,note,created_at
1,U21,U21WC40,93,1,FR,Friendly,2025-12-12,,2026-01-12 23:16:57.017998+00
2,U21,U21WC40,93,2,FR,Friendly,2025-12-19,,2026-01-12 23:16:57.017998+00
3,U21,U21WC40,93,3,CC1,"Continental Championship, Matchday 1",2025-12-26,,2026-01-12 23:16:57.017998+00
4,U21,U21WC40,93,4,CC2,"Continental Championship, Matchday 2",2025-12-29,,2026-01-12 23:16:57.017998+00
5,U21,U21WC40,93,4,CC3,"Continental Championship, Matchday 3",2026-01-02,,2026-01-12 23:16:57.017998+00
6,U21,U21WC40,93,5,CC4,"Continental Championship, Matchday 4",2026-01-05,,2026-01-12 23:16:57.017998+00
7,U21,U21WC40,93,5,CC5,"Continental Championship, Matchday 5",2026-01-09,,2026-01-12 23:16:57.017998+00
8,U21,U21WC40,93,6,CC6,"Continental Championship, Matchday 6",2026-01-16,Često ključan cutoff za “najstarije”,2026-01-12 23:16:57.017998+00
9,U21,U21WC40,93,7,CC7,"Continental Championship, Matchday 7",2026-01-23,,2026-01-12 23:16:57.017998+00
10,U21,U21WC40,93,8,CC8,"Continental Championship, Matchday 8",2026-01-30,,2026-01-12 23:16:57.017998+00
11,U21,U21WC40,93,9,CC9,"Continental Championship, Matchday 9",2026-02-06,,2026-01-12 23:16:57.017998+00
12,U21,U21WC40,93,10,CC10,"Continental Championship, Matchday 10",2026-02-13,,2026-01-12 23:16:57.017998+00
13,U21,U21WC40,93,11,QF,Continental Championship - Quarterfinals,2026-02-20,,2026-01-12 23:16:57.017998+00
14,U21,U21WC40,93,12,SF,Continental Championship - Semifinals,2026-02-23,,2026-01-12 23:16:57.017998+00
15,U21,U21WC40,93,12,F,Continental Championship - Finals,2026-02-27,,2026-01-12 23:16:57.017998+00
16,U21,U21WC40,93,13,WCR1MD1,"World Cup - Round I, Matchday 1",2026-03-06,,2026-01-12 23:16:57.017998+00
17,U21,U21WC40,93,14,WCR1MD2,"World Cup - Round I, Matchday 2",2026-03-09,,2026-01-12 23:16:57.017998+00
18,U21,U21WC40,93,14,WCR1MD3,"World Cup - Round I, Matchday 3",2026-03-13,,2026-01-12 23:16:57.017998+00
19,U21,U21WC40,93,15,WCR1MD4,"World Cup - Round I, Matchday 4",2026-03-20,,2026-01-12 23:16:57.017998+00
20,U21,U21WC40,93,16,WCR1MD5,"World Cup - Round I, Matchday 5",2026-03-27,,2026-01-12 23:16:57.017998+00
21,U21,U21WC40,94,1,WCR1MD6,"World Cup - Round I, Matchday 6",2026-04-03,,2026-01-12 23:16:57.017998+00
22,U21,U21WC40,94,2,WCR1MD7,"World Cup - Round I, Matchday 7",2026-04-10,,2026-01-12 23:16:57.017998+00
23,U21,U21WC40,94,3,WCR1MD8,"World Cup - Round I, Matchday 8",2026-04-17,,2026-01-12 23:16:57.017998+00
24,U21,U21WC40,94,4,WCR1MD9,"World Cup - Round I, Matchday 9",2026-04-24,,2026-01-12 23:16:57.017998+00
25,U21,U21WC40,94,5,WCR1MD10,"World Cup - Round I, Matchday 10",2026-05-01,,2026-01-12 23:16:57.017998+00
26,U21,U21WC40,94,6,WCR2MD1,"World Cup - Round II, Matchday 1",2026-05-08,,2026-01-12 23:16:57.017998+00
27,U21,U21WC40,94,7,WCR2MD2,"World Cup - Round II, Matchday 2",2026-05-11,,2026-01-12 23:16:57.017998+00
28,U21,U21WC40,94,7,WCR2MD3,"World Cup - Round II, Matchday 3",2026-05-15,,2026-01-12 23:16:57.017998+00
29,U21,U21WC40,94,8,WCR2MD4,"World Cup - Round II, Matchday 4",2026-05-18,,2026-01-12 23:16:57.017998+00
30,U21,U21WC40,94,8,WCR2MD5,"World Cup - Round II, Matchday 5",2026-05-22,,2026-01-12 23:16:57.017998+00
31,U21,U21WC40,94,9,WCR2MD6,"World Cup - Round II, Matchday 6",2026-05-29,,2026-01-12 23:16:57.017998+00
32,U21,U21WC40,94,10,WCR3MD1,"World Cup - Round III, Matchday 1",2026-06-05,,2026-01-12 23:16:57.017998+00
33,U21,U21WC40,94,11,WCR3MD2,"World Cup - Round III, Matchday 2",2026-06-08,,2026-01-12 23:16:57.017998+00
34,U21,U21WC40,94,11,WCR3MD3,"World Cup - Round III, Matchday 3",2026-06-12,,2026-01-12 23:16:57.017998+00
35,U21,U21WC40,94,12,WCR4MD1,"World Cup - Round IV, Matchday 1",2026-06-19,,2026-01-12 23:16:57.017998+00
36,U21,U21WC40,94,13,WCR4MD2,"World Cup - Round IV, Matchday 2",2026-06-22,,2026-01-12 23:16:57.017998+00
37,U21,U21WC40,94,13,WCR4MD3,"World Cup - Round IV, Matchday 3",2026-06-26,,2026-01-12 23:16:57.017998+00
38,U21,U21WC40,94,14,WCR5MD1,"World Cup - Round V, Matchday 1",2026-07-03,,2026-01-12 23:16:57.017998+00
39,U21,U21WC40,94,15,WCR5MD2,"World Cup - Round V, Matchday 2",2026-07-06,,2026-01-12 23:16:57.017998+00
40,U21,U21WC40,94,15,WCR5MD3,"World Cup - Round V, Matchday 3",2026-07-10,,2026-01-12 23:16:57.017998+00
41,U21,U21WC40,94,16,WCSF,World Cup - Semifinals,2026-07-17,,2026-01-12 23:16:57.017998+00
42,U21,U21WC40,94,16,WCF,World Cup - Finals,2026-07-17,"Ako želiš odvojiti SF i Final u različite dane, promijeni datum",2026-01-12 23:16:57.017998+00
