id,country_id,position,created_at,full_name,ht_player_id,team_type,status,notes,last_seen_at,dob,ht_age_years,ht_age_days,training_type,trainer_level,assistants,intensity,stamina_share,ideal_training_score,actual_training_score,nationality,specialty,injury,transfer_listed,age_years,age_days,tsi,experience,leadership,form,stamina,keeper,defending,playmaking,wing,passing,scoring,set_pieces,caps_nt,caps_u21,is_international,category,source,imported_at,note,ht_id,team_id,age,skill_gk,skill_def,skill_pm,skill_wing,skill_pass,skill_score,skill_sp,wage,stamina_pct,training_last,training_now,updated_at
4,,DEF,2026-01-11 12:36:19.449754,Karlo Gorup,123456,U21,watch,proba,,2005-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
5,191,IM,2026-01-11 14:41:33.33203,Bruno Novosel,777888,NT,watch,proba,,2000-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
6,191,FWD,2026-01-11 17:38:18.005814,Marko Žigić,,U21,watch,,,,21,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
7,191,W,2026-01-11 17:39:09.634752,Šime Kalpić,,U21,watch,,,,21,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
8,191,DEF,2026-01-11 17:42:23.069703,Marko Marić,,U21,watch,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
9,,FWD,2026-01-13 22:12:38.337113,Marko Žigić,,U21,watch,test igrač 1,,2005-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
10,,IM,2026-01-13 22:12:38.337113,Ivan Horvat,,U21,core,test igrač 2,,2005-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
11,,DEF,2026-01-13 22:12:38.337113,Ante Antić,,U21,rotation,test igrač 3,,2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
12,,IM,2026-01-13 22:12:38.337113,Luka Modrić (test),,NT,watch,test NT,,2000-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19 10:31:34.483527+00
13,,W,2026-01-13 22:27:10.048419,Alan Andrović,453285255,NT,active,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,Brz,,false,35,20,47110,18,6,6,7,1,9,14,17,11,2,16,20,0,false,Krilo,portal,2026-01-19 16:10:34.844536+00,,,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,1,9,14,17,11,2,16,,,,,2026-01-19 16:10:34.844536+00
14,,GK,2026-01-13 22:45:37.810451,Hrvoje Svjetlanović,462660957,NT,active,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,,,false,31,15,145450,10,3,8,7,20,15,1,2,2,1,20,7,0,true,Vratar,portal,2026-01-19 16:10:34.844536+00,,,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,20,15,1,2,2,1,20,,,,,2026-01-19 16:10:34.844536+00
15,,W,2026-01-13 22:45:37.810451,Hrvoje Zidarević,455838236,NT,active,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,Brz,,false,34,36,60460,15,4,6,7,1,13,16,15,7,9,1,0,13,false,Krilo,portal,2026-01-19 16:10:34.844536+00,,,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,1,13,16,15,7,9,1,,,,,2026-01-19 16:10:34.844536+00
16,,FWD,2026-01-13 22:45:37.810451,Igor Ivanov,466208013,NT,active,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,Brz,,false,29,60,256320,8,5,7,6,1,4,3,12,12,17,2,0,0,false,Napadač,portal,2026-01-19 16:10:34.844536+00,,,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,1,4,3,12,12,17,2,,,,,2026-01-19 16:10:34.844536+00
18,,GK,2026-01-19 10:31:34.483527,Test NT GK,,,,,,,,,,,,,,,,HR,,,,,,,,,,,,,,,,,,,,,,,,,,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,19,9,3,2,,2,,,,,,,2026-01-19 10:31:34.483527+00
19,,IM,2026-01-19 10:31:34.483527,Test NT MID,,,,,,,,,,,,,,,,HR,,,,,,,,,,,,,,,,,,,,,,,,,,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,24,,11,12,8,10,7,,,,,,2026-01-19 10:31:34.483527+00
20,,DEF,2026-01-19 10:31:34.483527,Test U21 DEF,,,,,,,,,,,,,,,,HR,,,,,,,,,,,,,,,,,,,,,,,,,,6f2d686a-595a-41e3-9f4d-043d0ecee6c2,18,,10,7,,8,,,,,,,2026-01-19 10:31:34.483527+00
21,,WING,2026-01-19 10:31:34.483527,Test U21 WING,,,,,,,,,,,,,,,,HR,,,,,,,,,,,,,,,,,,,,,,,,,,6f2d686a-595a-41e3-9f4d-043d0ecee6c2,19,,,10,11,9,6,,,,,,2026-01-19 10:31:34.483527+00
22,,,2026-01-19 15:34:45.048265,Alan Andrović,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,35,20,47110,18,,6,7,1,9,14,17,11,2,16,20,0,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,453285255,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
23,,,2026-01-19 15:34:45.048265,Albert Dumbović,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,28,72,379170,9,,6,7,1,12,18,3,10,4,2,0,1,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,470141243,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
24,,,2026-01-19 15:34:45.048265,Albert 'Berty Boy' Vrbnjak,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,32,75,225000,12,,7,7,1,10,16,17,9,7,9,1,3,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,459418718,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
