id,team_type,position,target_skill,min_gain_per_week,max_weeks_without_gain,note,created_at,updated_at,team_id
1,U21,W,winger,0.10,3,Auto seed default training setting,2026-01-14 10:11:17.580774+00,2026-01-14 10:11:17.580774+00,6f2d686a-595a-41e3-9f4d-043d0ecee6c2
2,U21,IM,playmaking,0.10,3,Auto seed default training setting,2026-01-14 10:11:17.580774+00,2026-01-14 10:11:17.580774+00,6f2d686a-595a-41e3-9f4d-043d0ecee6c2
3,NT,FW,scoring,0.20,2,NT napadač – scoring fokus,2026-01-14 10:11:17.580774+00,2026-01-14 10:11:17.580774+00,3f5ca8b9-d920-4000-bf1e-b906d43c04a4
4,NT,GK,gk,0.10,3,Auto seed default training setting,2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,3f5ca8b9-d920-4000-bf1e-b906d43c04a4
5,NT,DEF,defending,0.08,4,Primarni trening obrane (NT),2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,3f5ca8b9-d920-4000-bf1e-b906d43c04a4
6,NT,IM,playmaking,0.10,3,Auto seed default training setting,2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,3f5ca8b9-d920-4000-bf1e-b906d43c04a4
7,NT,W,winger,0.10,3,Auto seed default training setting,2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,3f5ca8b9-d920-4000-bf1e-b906d43c04a4
8,NT,FWD,scoring,0.10,3,Auto seed default training setting,2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,3f5ca8b9-d920-4000-bf1e-b906d43c04a4
9,U21,GK,gk,0.10,3,Primarni trening GK (U21),2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,6f2d686a-595a-41e3-9f4d-043d0ecee6c2
10,U21,DEF,defending,0.10,3,Auto seed default training setting,2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,6f2d686a-595a-41e3-9f4d-043d0ecee6c2
13,U21,FWD,scoring,0.10,3,Auto seed default training setting,2026-01-14 10:13:23.640673+00,2026-01-14 10:13:23.640673+00,6f2d686a-595a-41e3-9f4d-043d0ecee6c2
